method,n,n_gt,mean_dice,mean_iou,mean_b_f1,mean_b_prec,mean_b_rec,mean_b_chamfer,mean_b_hd,mean_b_hd95,mean_mask_hit,mean_mask_rec,mean_mask_prec
ours_th68_fill,8080,8080,0.7691263896180726,0.6413537824406965,0.2692671249128272,0.5779566587117887,0.20120966493571463,116.41944307974791,485.6756660038327,458.79620219900227,1.0,0.7991435876912214,0.7832415959004221
ours_th90_fill,8080,8080,0.0934530704839997,0.05455861079447757,0.19832762736901208,0.30649335173410014,0.1616413977966023,100.57245182569812,344.53041315928544,320.45353817231586,1.0,0.056922787361453064,0.7591618351199909
ours_th95_fill,8080,8080,0.03179466342514392,0.017758193572958755,0.1987651952062475,0.3808941824128397,0.14284041291489902,91.84387855847726,341.891277624829,314.39400894995964,0.9992574257425743,0.01840113186089119,0.7008502917985562
